gate_V,N_files,Sigma_over_sigma_mean,Sigma_over_sigma_median,Sigma_over_sigma_std,flag_failure
-40.0,1,-2.0299297895066775,-2.0299297895066775,,0
-38.0,1,-2.238461645344993,-2.238461645344993,,0
-36.0,1,-2.246351055584304,-2.246351055584304,,0
-34.0,1,-2.1903452585531284,-2.1903452585531284,,0
-32.0,1,-2.194412045436299,-2.194412045436299,,0
-30.0,1,-2.2351690263422355,-2.2351690263422355,,0
-28.0,1,-2.1822189450774676,-2.1822189450774676,,0
-26.0,1,-2.127479582933563,-2.127479582933563,,0
-24.0,1,-2.1454178082525788,-2.1454178082525788,,0
-22.0,1,-2.1403213461635335,-2.1403213461635335,,0
-20.0,1,-2.1787792531705925,-2.1787792531705925,,0
-18.0,1,-2.225404028159807,-2.225404028159807,,0
-16.0,1,-1.8668731942163679,-1.8668731942163679,,0
-14.0,1,-1.7079748332852922,-1.7079748332852922,,0
-12.0,1,-1.8630993511967742,-1.8630993511967742,,0
-10.0,1,-2.0373443335816273,-2.0373443335816273,,0
-8.0,1,-2.2680876919529216,-2.2680876919529216,,0
-6.0,1,-2.8827303896477794,-2.8827303896477794,,0
-4.0,1,-3.2402795365973707,-3.2402795365973707,,0
-2.0,1,-4.054377193165684,-4.054377193165684,,0
0.0,1,-28.309338435604808,-28.309338435604808,,1
2.0,1,9.341596610414696,9.341596610414696,,0
4.0,1,6.327437463547898,6.327437463547898,,0
6.0,1,5.445614379279872,5.445614379279872,,0
8.0,1,4.342008119731678,4.342008119731678,,0
10.0,1,3.874994180772692,3.874994180772692,,0
12.0,1,3.5562091940233884,3.5562091940233884,,0
14.0,1,3.1713648616296144,3.1713648616296144,,0
16.0,1,3.2050279882951096,3.2050279882951096,,0
18.0,1,3.1261957050548355,3.1261957050548355,,0
20.0,1,2.971184211803484,2.971184211803484,,0
22.0,1,2.8656835937995164,2.8656835937995164,,0
24.0,1,2.6466991942867,2.6466991942867,,0
26.0,1,2.489548256247054,2.489548256247054,,0
28.0,1,2.453330732283399,2.453330732283399,,0
30.0,1,2.4345121234984095,2.4345121234984095,,0
32.0,1,2.378219474581954,2.378219474581954,,0
34.0,1,2.427998234503773,2.427998234503773,,0
36.0,1,2.3945289024486893,2.3945289024486893,,0
38.0,1,2.1647702735888066,2.1647702735888066,,0
40.0,1,2.5375979368637323,2.5375979368637323,,0
