file,gate_tag,gate_V,method,N_points,lockin_amp_V,sigma_S,sigma_se,Sigma_A_per_V2,Sigma_se,Sigma_over_sigma_per_V
VGKm40.00_didv_wide00001.dat,m40.00,-40.0,G_from_LIX_even-odd,41,0.01,1.368283898482785e-09,,-2.777520246032536e-09,,-2.0299297895066775
VGKm38.00_didv_wide00001.dat,m38.00,-38.0,G_from_LIX_even-odd,41,0.01,1.357683303530828e-09,,-3.0391220014790427e-09,,-2.238461645344993
VGKm36.00_didv_wide00001.dat,m36.00,-36.0,G_from_LIX_even-odd,41,0.01,1.3514092931946058e-09,,-3.035739692294141e-09,,-2.246351055584304
VGKm34.00_didv_wide00001.dat,m34.00,-34.0,G_from_LIX_even-odd,41,0.01,1.3407697744550816e-09,,-2.9367487182890355e-09,,-2.1903452585531284
VGKm32.00_didv_wide00001.dat,m32.00,-32.0,G_from_LIX_even-odd,41,0.01,1.3300221974603057e-09,,-2.9186167308045507e-09,,-2.194412045436299
VGKm30.00_didv_wide00001.dat,m30.00,-30.0,G_from_LIX_even-odd,41,0.01,1.3288654946663994e-09,,-2.970238993853289e-09,,-2.2351690263422355
VGKm28.00_didv_wide00001.dat,m28.00,-28.0,G_from_LIX_even-odd,41,0.01,1.3199945215670382e-09,,-2.8805170523620587e-09,,-2.1822189450774676
VGKm26.00_didv_wide00001.dat,m26.00,-26.0,G_from_LIX_even-odd,41,0.01,1.311886654414381e-09,,-2.7910120723896145e-09,,-2.127479582933563
VGKm24.00_didv_wide00001.dat,m24.00,-24.0,G_from_LIX_even-odd,41,0.01,1.3059063684478748e-09,,-2.8017147787785243e-09,,-2.1454178082525788
VGKm22.00_didv_wide00001.dat,m22.00,-22.0,G_from_LIX_even-odd,41,0.01,1.3021357793884036e-09,,-2.78698900422829e-09,,-2.1403213461635335
VGKm20.00_didv_wide00001.dat,m20.00,-20.0,G_from_LIX_even-odd,41,0.01,1.2943717429023096e-09,,-2.8201502993258124e-09,,-2.1787792531705925
VGKm18.00_didv_wide00001.dat,m18.00,-18.0,G_from_LIX_even-odd,41,0.01,1.2955144494695795e-09,,-2.883043074388837e-09,,-2.225404028159807
VGKm16.00_didv_wide00001.dat,m16.00,-16.0,G_from_LIX_even-odd,41,0.01,1.2762088279124807e-09,,-2.3825200510521e-09,,-1.8668731942163679
VGKm14.00_didv_wide00001.dat,m14.00,-14.0,G_from_LIX_even-odd,41,0.01,1.3457616813871885e-09,,-2.298527083409018e-09,,-1.7079748332852922
VGKm12.00_didv_wide00001.dat,m12.00,-12.0,G_from_LIX_even-odd,41,0.01,1.3372108138464652e-09,,-2.49135659969066e-09,,-1.8630993511967742
VGKm10.00_didv_wide00001.dat,m10.00,-10.0,G_from_LIX_even-odd,41,0.01,1.3258028267737982e-09,,-2.7011168765741017e-09,,-2.0373443335816273
VGKm8.00_didv_wide00001.dat,m8.00,-8.0,G_from_LIX_even-odd,41,0.01,1.3178729820221009e-09,,-2.989051490081621e-09,,-2.2680876919529216
VGKm6.00_didv_wide00001.dat,m6.00,-6.0,G_from_LIX_even-odd,41,0.01,1.3034111430286574e-09,,-3.757382912214259e-09,,-2.8827303896477794
VGKm4.00_didv_wide00001.dat,m4.00,-4.0,G_from_LIX_even-odd,41,0.01,1.2835813609386017e-09,,-4.159162417407155e-09,,-3.2402795365973707
VGKm2.00_didv_wide00001.dat,m2.00,-2.0,G_from_LIX_even-odd,41,0.01,1.2147548857673193e-09,,-4.925074504141606e-09,,-4.054377193165684
VGKp0.00_didv_wide00001.dat,p0.00,0.0,G_from_LIX_even-odd,41,0.01,6.209145375772838e-10,,-1.7577679783862385e-08,,-28.309338435604808
VGKp2.00_didv_wide00001.dat,p2.00,2.0,G_from_LIX_even-odd,41,0.01,2.504861492136578e-09,,2.3399405624501355e-08,,9.341596610414696
VGKp4.00_didv_wide00001.dat,p4.00,4.0,G_from_LIX_even-odd,41,0.01,2.237837296403093e-09,,1.4159775546585671e-08,,6.327437463547898
VGKp6.00_didv_wide00001.dat,p6.00,6.0,G_from_LIX_even-odd,41,0.01,2.1246064926247173e-09,,1.1569787666548537e-08,,5.445614379279872
VGKp8.00_didv_wide00001.dat,p8.00,8.0,G_from_LIX_even-odd,41,0.01,1.933443374434198e-09,,8.395026830834701e-09,,4.342008119731678
VGKp10.00_didv_wide00001.dat,p10.00,10.0,G_from_LIX_even-odd,41,0.01,1.8458018571997316e-09,,7.1524714555083875e-09,,3.874994180772692
VGKp12.00_didv_wide00001.dat,p12.00,12.0,G_from_LIX_even-odd,41,0.01,1.812190768407274e-09,,6.444529471934256e-09,,3.5562091940233884
VGKp14.00_didv_wide00001.dat,p14.00,14.0,G_from_LIX_even-odd,41,0.01,1.775625314509471e-09,,5.6311557298553696e-09,,3.1713648616296144
VGKp16.00_didv_wide00001.dat,p16.00,16.0,G_from_LIX_even-odd,41,0.01,1.7607615109837452e-09,,5.64328992341569e-09,,3.2050279882951096
VGKp18.00_didv_wide00001.dat,p18.00,18.0,G_from_LIX_even-odd,41,0.01,1.7912014644105984e-09,,5.5996463249283445e-09,,3.1261957050548355
VGKp20.00_didv_wide00001.dat,p20.00,20.0,G_from_LIX_even-odd,41,0.01,1.8135604238541109e-09,,5.388422098506969e-09,,2.971184211803484
VGKp22.00_didv_wide00001.dat,p22.00,22.0,G_from_LIX_even-odd,41,0.01,1.7665808441818276e-09,,5.062461742292363e-09,,2.8656835937995164
VGKp24.00_didv_wide00001.dat,p24.00,24.0,G_from_LIX_even-odd,41,0.01,1.7445804138756885e-09,,4.6173795757731425e-09,,2.6466991942867
VGKp26.00_didv_wide00001.dat,p26.00,26.0,G_from_LIX_even-odd,41,0.01,1.676672564709325e-09,,4.174157259769376e-09,,2.489548256247054
VGKp28.00_didv_wide00001.dat,p28.00,28.0,G_from_LIX_even-odd,41,0.01,1.6759424255791725e-09,,4.111641058210967e-09,,2.453330732283399
VGKp30.00_didv_wide00001.dat,p30.00,30.0,G_from_LIX_even-odd,41,0.01,1.6626795522280713e-09,,4.0478135273921466e-09,,2.4345121234984095
VGKp32.00_didv_wide00001.dat,p32.00,32.0,G_from_LIX_even-odd,41,0.01,1.6544080258585925e-09,,3.934545386001589e-09,,2.378219474581954
VGKp34.00_didv_wide00001.dat,p34.00,34.0,G_from_LIX_even-odd,41,0.01,1.6518423454479902e-09,,4.010670298426292e-09,,2.427998234503773
VGKp36.00_didv_wide00001.dat,p36.00,36.0,G_from_LIX_even-odd,41,0.01,1.6479616977760315e-09,,3.946091915453119e-09,,2.3945289024486893
VGKp38.00_didv_wide00001.dat,p38.00,38.0,G_from_LIX_even-odd,41,0.01,1.6483405616939858e-09,,3.5682786487058168e-09,,2.1647702735888066
VGKp40.00_didv_wide00001.dat,p40.00,40.0,G_from_LIX_even-odd,41,0.01,1.6552233747871702e-09,,4.200291420908547e-09,,2.5375979368637323
