I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
0.0,-1.4712076091161255,-1.4712076091161255,0.0,40,40,STP_VGKm5.00_Ip0uA00001.dat,STP_VGKm5.00_Ip0uA00001.dat
5.0,-2.9172344934556453,-0.1011601259025469,-0.037989700562970574,40,40,STP_VGKm5.00_Ip5uA00001.dat,STP_VGKm5.00_Im5uA00001.dat
10.0,-4.4101192950013886,1.3151900338046059,-0.07625702148226599,40,40,STP_VGKm5.00_Ip10uA00001.dat,STP_VGKm5.00_Im10uA00001.dat
15.0,-5.826733798860658,2.720835886213724,-0.08174134720734139,40,40,STP_VGKm5.00_Ip15uA00001.dat,STP_VGKm5.00_Im15uA00001.dat
20.0,-7.227909519897372,4.122146983485439,-0.08167365908984103,40,40,STP_VGKm5.00_Ip20uA00001.dat,STP_VGKm5.00_Im20uA00001.dat
25.0,-8.66077800613465,5.514239594342323,-0.10206159678003845,40,40,STP_VGKm5.00_Ip25uA00001.dat,STP_VGKm5.00_Im25uA00001.dat
30.0,-10.115208223736197,6.927608508132374,-0.122592248685786,40,40,STP_VGKm5.00_Ip30uA00001.dat,STP_VGKm5.00_Im30uA00001.dat
35.0,-11.515475511634405,8.329194839460536,-0.12193272697080881,40,40,STP_VGKm5.00_Ip35uA00001.dat,STP_VGKm5.00_Im35uA00001.dat
40.0,-12.989812549057843,9.72943228690371,-0.15898252196094087,40,40,STP_VGKm5.00_Ip40uA00001.dat,STP_VGKm5.00_Im40uA00001.dat
45.0,-14.387444403208843,11.110173553143255,-0.16742781591666822,40,40,STP_VGKm5.00_Ip45uA00001.dat,STP_VGKm5.00_Im45uA00001.dat
50.0,-15.804091371968497,12.560251575962718,-0.15071228888676358,40,40,STP_VGKm5.00_Ip50uA00001.dat,STP_VGKm5.00_Im50uA00001.dat
55.0,-17.250063802479886,13.947014870396623,-0.1803168569255058,40,40,STP_VGKm5.00_Ip55uA00001.dat,STP_VGKm5.00_Im55uA00001.dat
60.0,-18.687526709574236,15.384080712063616,-0.18051538963918445,40,40,STP_VGKm5.00_Ip60uA00001.dat,STP_VGKm5.00_Im60uA00001.dat
65.0,-20.04742936299257,16.78237357704724,-0.16132028385653885,40,40,STP_VGKm5.00_Ip65uA00001.dat,STP_VGKm5.00_Im65uA00001.dat
70.0,-21.470765270711585,18.191579825217172,-0.168385113631081,40,40,STP_VGKm5.00_Ip70uA00001.dat,STP_VGKm5.00_Im70uA00001.dat
