I_uA,STP_pos_mV,STP_neg_mV,STP_sym_mV,n_pos,n_neg,file_pos,file_neg
0.0,-1.9475198556978872,-1.9475198556978872,0.0,20,20,STP_VGKp5.00_Ip0uA00001.dat,STP_VGKp5.00_Ip0uA00001.dat
5.0,-3.034768361784275,-0.8958431594931374,-0.01778590494081911,20,20,STP_VGKp5.00_Ip5uA00001.dat,STP_VGKp5.00_Im5uA00001.dat
10.0,-4.14161118322586,0.20801196045363102,-0.019279755688227374,20,20,STP_VGKp5.00_Ip10uA00001.dat,STP_VGKp5.00_Im10uA00001.dat
15.0,-5.185569469588193,1.3265414486051754,0.018005845206378268,20,20,STP_VGKp5.00_Ip15uA00001.dat,STP_VGKp5.00_Im15uA00001.dat
20.0,-6.281103866813696,2.4133321650226294,0.013634004802353772,20,20,STP_VGKp5.00_Ip20uA00001.dat,STP_VGKp5.00_Im20uA00001.dat
25.0,-7.3230799828456465,3.5093533875068066,0.04065655802846724,20,20,STP_VGKp5.00_Ip25uA00001.dat,STP_VGKp5.00_Im25uA00001.dat
30.0,-8.429746536831276,4.596715253227794,0.03100421389614616,20,20,STP_VGKp5.00_Ip30uA00001.dat,STP_VGKp5.00_Im30uA00001.dat
35.0,-9.446616935407576,5.630296980625593,0.03935987830689558,20,20,STP_VGKp5.00_Ip35uA00001.dat,STP_VGKp5.00_Im35uA00001.dat
40.0,-10.545916399997507,6.743008372775338,0.046065842086802755,20,20,STP_VGKp5.00_Ip40uA00001.dat,STP_VGKp5.00_Im40uA00001.dat
45.0,-11.55740850780643,7.812953806088544,0.0752925048389439,20,20,STP_VGKp5.00_Ip45uA00001.dat,STP_VGKp5.00_Im45uA00001.dat
50.0,-12.648955397511484,8.904955160394103,0.07551973713919646,20,20,STP_VGKp5.00_Ip50uA00001.dat,STP_VGKp5.00_Im50uA00001.dat
55.0,-13.742648532130024,9.942175399000199,0.047283289132974415,20,20,STP_VGKp5.00_Ip55uA00001.dat,STP_VGKp5.00_Im55uA00001.dat
60.0,-14.825875716663724,11.033962917976124,0.051563456354087434,20,20,STP_VGKp5.00_Ip60uA00001.dat,STP_VGKp5.00_Im60uA00001.dat
65.0,-15.8589501051501,12.08024698465033,0.05816829544800206,20,20,STP_VGKp5.00_Ip65uA00001.dat,STP_VGKp5.00_Im65uA00001.dat
70.0,-16.912013184182747,13.14598889109702,0.06450770915502324,20,20,STP_VGKp5.00_Ip70uA00001.dat,STP_VGKp5.00_Im70uA00001.dat
75.0,-17.98486304336818,14.218687052624167,0.06443186032588133,20,20,STP_VGKp5.00_Ip75uA00001.dat,STP_VGKp5.00_Im75uA00001.dat
80.0,-19.051285289922404,15.284900379155403,0.06432740031438633,20,20,STP_VGKp5.00_Ip80uA00001.dat,STP_VGKp5.00_Im80uA00001.dat
85.0,-20.11146570998775,16.3523315700549,0.0679527857314619,20,20,STP_VGKp5.00_Ip85uA00001.dat,STP_VGKp5.00_Im85uA00001.dat
90.0,-21.192011296694734,17.39842866489863,0.05072853979983605,20,20,STP_VGKp5.00_Ip90uA00001.dat,STP_VGKp5.00_Im90uA00001.dat
